Date,Cell Count,Min Cell Age (days),MAX Cell Age (days),Cell Restart Age (days)
14-MAY-19,272,209,929,
15-MAY-19,272,210,930,
16-MAY-19,272,211,931,
17-MAY-19,272,212,932,
18-MAY-19,272,213,933,
19-MAY-19,272,214,934,
20-MAY-19,272,215,935,
21-MAY-19,272,216,936,
22-MAY-19,272,217,937,
23-MAY-19,272,218,938,
24-MAY-19,272,219,939,
25-MAY-19,272,220,940,
26-MAY-19,272,221,941,
27-MAY-19,272,222,942,
28-MAY-19,272,223,943,
29-MAY-19,272,224,944,
30-MAY-19,272,225,945,
31-MAY-19,272,226,946,
01-JUN-19,272,227,947,
02-JUN-19,272,228,948,
03-JUN-19,272,229,949,
04-JUN-19,272,230,950,
05-JUN-19,272,231,951,
06-JUN-19,272,232,952,
07-JUN-19,272,233,953,
08-JUN-19,272,234,954,
09-JUN-19,272,235,955,
10-JUN-19,272,236,956,
11-JUN-19,272,237,957,
12-JUN-19,272,238,958,
13-JUN-19,272,239,959,
14-JUN-19,272,240,960,
15-JUN-19,272,241,961,
16-JUN-19,271,242,962,
17-JUN-19,271,243,963,
18-JUN-19,271,244,964,
19-JUN-19,271,245,965,
20-JUN-19,271,246,966,
21-JUN-19,271,247,967,
22-JUN-19,271,248,968,
23-JUN-19,271,249,969,
24-JUN-19,271,250,970,
25-JUN-19,271,251,971,
26-JUN-19,271,252,972,
27-JUN-19,271,253,973,
28-JUN-19,271,254,974,
29-JUN-19,271,255,975,
30-JUN-19,271,256,976,
01-JUL-19,271,257,977,
02-JUL-19,271,258,978,
03-JUL-19,271,259,979,
04-JUL-19,271,260,980,
05-JUL-19,271,261,981,
06-JUL-19,271,262,982,
07-JUL-19,271,263,983,
08-JUL-19,271,264,984,
09-JUL-19,271,265,985,
10-JUL-19,271,266,986,
11-JUL-19,271,267,987,
12-JUL-19,271,268,988,
13-JUL-19,271,269,989,
14-JUL-19,271,270,990,
15-JUL-19,271,271,991,
16-JUL-19,271,272,992,
17-JUL-19,271,273,993,
18-JUL-19,271,274,994,
19-JUL-19,271,275,995,
20-JUL-19,272,28,996,
21-JUL-19,272,29,997,
22-JUL-19,272,30,998,
23-JUL-19,272,31,999,
24-JUL-19,272,32,1000,
25-JUL-19,272,33,1001,
26-JUL-19,272,34,1002,
27-JUL-19,272,35,1003,
28-JUL-19,272,36,1004,
29-JUL-19,272,37,1005,
30-JUL-19,272,38,1006,
31-JUL-19,272,39,1007,
01-AUG-19,272,40,1008,
02-AUG-19,272,41,1009,
03-AUG-19,272,42,1010,
04-AUG-19,272,43,1011,
05-AUG-19,272,44,1012,
06-AUG-19,272,45,1013,
07-AUG-19,272,46,1014,
08-AUG-19,272,47,1015,
09-AUG-19,272,48,1016,
10-AUG-19,272,49,1017,
11-AUG-19,272,50,1018,
12-AUG-19,272,51,1019,
13-AUG-19,272,52,1020,
14-AUG-19,272,53,1021,
15-AUG-19,272,54,1022,
16-AUG-19,272,55,1023,
17-AUG-19,272,56,1024,
18-AUG-19,272,57,1025,
19-AUG-19,272,58,1026,
20-AUG-19,272,59,1027,
21-AUG-19,272,60,1028,
22-AUG-19,272,61,1029,
23-AUG-19,272,62,1030,
24-AUG-19,272,63,1031,
25-AUG-19,272,64,1032,
26-AUG-19,272,65,1033,
27-AUG-19,272,66,1034,
28-AUG-19,272,67,1035,
29-AUG-19,272,68,1036,
30-AUG-19,272,69,1037,
31-AUG-19,272,70,1038,
01-SEP-19,272,71,1039,
02-SEP-19,272,72,1040,
03-SEP-19,272,73,1041,
04-SEP-19,272,74,1042,
05-SEP-19,272,75,1043,
06-SEP-19,272,76,1044,
07-SEP-19,272,77,1045,
08-SEP-19,272,78,1046,
09-SEP-19,272,79,1047,
10-SEP-19,272,80,1048,
11-SEP-19,272,81,1049,
12-SEP-19,272,82,1050,
13-SEP-19,272,83,1051,
14-SEP-19,272,84,1052,
15-SEP-19,272,85,1053,
16-SEP-19,272,86,1054,
17-SEP-19,272,87,1055,
18-SEP-19,272,88,1056,
19-SEP-19,272,89,1057,
20-SEP-19,272,90,1058,
21-SEP-19,272,91,1059,
22-SEP-19,272,92,1060,
23-SEP-19,272,93,1061,
24-SEP-19,272,94,1062,
25-SEP-19,272,95,1063,
26-SEP-19,272,96,1064,
27-SEP-19,272,97,1065,
28-SEP-19,272,98,1066,
29-SEP-19,272,99,1067,
30-SEP-19,272,100,1068,
01-OCT-19,272,101,1069,
02-OCT-19,272,102,1070,
03-OCT-19,272,103,1071,
04-OCT-19,272,104,1072,
05-OCT-19,272,105,1073,
06-OCT-19,272,106,1074,
07-OCT-19,272,107,1075,
08-OCT-19,272,108,1076,
09-OCT-19,272,109,1077,
10-OCT-19,272,110,1078,
11-OCT-19,272,111,1079,
12-OCT-19,272,112,1080,
13-OCT-19,272,113,1081,
14-OCT-19,272,114,1082,
15-OCT-19,272,115,1083,
16-OCT-19,272,116,1084,
17-OCT-19,272,117,1085,
18-OCT-19,272,118,1086,
19-OCT-19,272,119,1087,
20-OCT-19,272,120,1088,
21-OCT-19,272,121,1089,
22-OCT-19,272,122,1090,
23-OCT-19,272,123,1091,
24-OCT-19,272,124,1092,
25-OCT-19,272,125,1093,
26-OCT-19,272,126,1094,
27-OCT-19,272,127,1095,
28-OCT-19,272,128,1096,
29-OCT-19,272,129,1097,
30-OCT-19,272,130,1098,
31-OCT-19,272,131,1099,
01-NOV-19,272,132,1100,
02-NOV-19,272,133,1101,
03-NOV-19,272,134,1102,
04-NOV-19,272,135,1103,
05-NOV-19,271,136,1104,
06-NOV-19,271,137,1105,
07-NOV-19,271,138,1106,
08-NOV-19,271,139,1107,
09-NOV-19,271,140,1108,
10-NOV-19,271,141,1109,
11-NOV-19,271,142,1110,
12-NOV-19,271,143,1111,
13-NOV-19,271,144,1112,
14-NOV-19,271,145,1113,
15-NOV-19,271,146,1114,
16-NOV-19,271,147,1115,
17-NOV-19,271,148,1116,
18-NOV-19,271,149,1117,
19-NOV-19,271,150,1118,
20-NOV-19,271,151,1119,
21-NOV-19,271,152,1120,
22-NOV-19,271,153,1121,
23-NOV-19,271,154,1122,
24-NOV-19,271,155,1123,
25-NOV-19,271,156,1124,
26-NOV-19,271,157,1125,
27-NOV-19,271,158,1126,
28-NOV-19,271,159,1127,
29-NOV-19,271,160,1128,
30-NOV-19,271,161,1129,
01-DEC-19,271,162,1130,
02-DEC-19,271,163,1131,
03-DEC-19,271,164,1132,
04-DEC-19,271,165,1133,
05-DEC-19,271,166,1134,
06-DEC-19,271,167,1135,
07-DEC-19,272,28,1136,
08-DEC-19,272,29,1137,
09-DEC-19,272,30,1138,
10-DEC-19,272,31,1139,
11-DEC-19,272,32,1140,
12-DEC-19,272,33,1141,
13-DEC-19,272,34,1142,
14-DEC-19,272,35,1143,
15-DEC-19,272,36,1144,
16-DEC-19,272,37,1145,
17-DEC-19,272,38,1146,
18-DEC-19,272,39,1147,
19-DEC-19,272,40,1148,
20-DEC-19,272,41,1149,
21-DEC-19,272,42,1150,
22-DEC-19,272,43,1151,
23-DEC-19,272,44,1152,
24-DEC-19,272,45,1153,
25-DEC-19,272,46,1154,
26-DEC-19,272,47,1155,
27-DEC-19,272,48,1156,
28-DEC-19,272,49,1157,
29-DEC-19,272,50,1158,
30-DEC-19,272,51,1159,
31-DEC-19,272,52,1160,
01-JAN-20,272,53,1161,
02-JAN-20,272,54,1162,
03-JAN-20,272,55,1163,
04-JAN-20,272,56,1164,
05-JAN-20,272,57,1165,
06-JAN-20,272,58,1166,
07-JAN-20,272,59,1167,
08-JAN-20,272,60,1168,
09-JAN-20,272,61,1169,
10-JAN-20,272,62,1170,
11-JAN-20,272,63,1171,
12-JAN-20,272,64,1172,
13-JAN-20,272,65,1173,
14-JAN-20,271,66,1174,
15-JAN-20,271,67,1175,
16-JAN-20,271,68,1176,
17-JAN-20,271,69,1177,
18-JAN-20,271,70,1178,
19-JAN-20,271,71,1179,
20-JAN-20,271,72,1180,
21-JAN-20,271,73,1181,
22-JAN-20,271,74,1182,
23-JAN-20,271,75,1183,
24-JAN-20,271,76,1184,
25-JAN-20,271,77,1185,
26-JAN-20,271,78,1186,
27-JAN-20,271,79,1187,
28-JAN-20,271,80,1188,
29-JAN-20,271,81,1189,
30-JAN-20,271,82,1190,
31-JAN-20,271,83,1191,
01-FEB-20,271,84,1192,
02-FEB-20,271,85,1193,
03-FEB-20,271,86,1194,
04-FEB-20,271,87,1195,
05-FEB-20,271,88,1196,
06-FEB-20,271,89,1197,
07-FEB-20,271,90,1198,
08-FEB-20,271,91,1199,
09-FEB-20,271,92,1200,
10-FEB-20,271,93,1201,
11-FEB-20,271,94,1202,
12-FEB-20,271,95,1203,
13-FEB-20,271,96,1204,
14-FEB-20,271,97,1205,
15-FEB-20,272,28,1206,
16-FEB-20,272,29,1207,
17-FEB-20,272,30,1208,
18-FEB-20,272,31,1209,
19-FEB-20,272,32,1210,
20-FEB-20,272,33,1211,
21-FEB-20,272,34,1212,
22-FEB-20,272,35,1213,
23-FEB-20,272,36,1214,
24-FEB-20,272,37,1215,
25-FEB-20,272,38,1216,
26-FEB-20,272,39,1217,
27-FEB-20,272,40,1218,
28-FEB-20,272,41,1219,
29-FEB-20,272,42,1220,
01-MAR-20,272,43,1221,
02-MAR-20,272,44,1222,
03-MAR-20,272,45,1223,
04-MAR-20,272,46,1224,
05-MAR-20,272,47,1225,
06-MAR-20,272,48,1226,
07-MAR-20,272,49,1227,
08-MAR-20,272,50,1228,
09-MAR-20,272,51,1229,
10-MAR-20,272,52,1230,
11-MAR-20,272,53,1231,
12-MAR-20,272,54,1232,
13-MAR-20,272,55,1233,
14-MAR-20,272,56,1234,
15-MAR-20,272,57,1235,
16-MAR-20,272,58,1236,
17-MAR-20,272,59,1237,
18-MAR-20,272,60,1238,
